 Folder, 0.95, File, : 0.sav , Bus Number:,220000, Voltage PU,0.95, Voltage kV,209.0, Base Voltage kV,220.0
 Folder, 0.95, File, : 0.sav , Bus Number:,220001, Voltage PU,0.97, Voltage kV,212.64, Base Voltage kV,220.0
 Folder, 0.95, File, : 0.sav , Bus Number:,220002, Voltage PU,0.95, Voltage kV,209.0, Base Voltage kV,220.0
 Folder, 0.95, File, : 1.sav , Bus Number:,8001, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8002, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8003, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8004, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8005, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8006, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8007, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8008, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8009, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8010, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8011, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8012, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8013, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8014, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8015, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8016, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8017, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8018, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8019, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8020, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8021, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8022, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8023, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,8024, Voltage PU,1.07, Voltage kV,0.86, Base Voltage kV,0.8
 Folder, 0.95, File, : 1.sav , Bus Number:,33001, Voltage PU,1.04, Voltage kV,34.31, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33002, Voltage PU,1.04, Voltage kV,34.31, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33003, Voltage PU,1.04, Voltage kV,34.29, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33004, Voltage PU,1.04, Voltage kV,34.29, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33005, Voltage PU,1.04, Voltage kV,34.29, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33006, Voltage PU,1.04, Voltage kV,34.29, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33007, Voltage PU,1.04, Voltage kV,34.27, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33008, Voltage PU,1.04, Voltage kV,34.26, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33009, Voltage PU,1.04, Voltage kV,34.25, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33010, Voltage PU,1.04, Voltage kV,34.26, Base Voltage kV,33.0
 Folder, 0.95, File, : 1.sav , Bus Number:,33011, Voltage PU,1.04, Voltage kV,34.27, Base Voltage kV,33.0
